"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"Costal1_X"	"Costal1_Y"	"Costal2_X"	"Costal2_Y"
453.801207240233	458.592090122496	446.77848802416	533.171052766207	492.104516791758	600.110107861509	437.101415988227	530.022778153843	428.928950605296	494.528234859095	492.308897915146	634.338710739466	439.248989253921	630.908682757052
453.79825227828	458.591691091506	449.37914843534	533.178487929093	494.552740171043	600.042953020693	439.545938086752	529.960988977467	430.676613278017	494.397813480897	494.824052311745	634.349681129432	441.477212072815	630.864794800953
453.795217881373	458.59134905107	452.051474678878	533.157072385828	497.014540841064	599.945267496877	442.077500547993	529.872445968032	432.472445849916	494.240578238955	497.338699784589	634.351225754251	443.71428838096	630.812454872205
453.792187913968	458.591129090737	454.810423655582	533.098522495334	499.494032639331	599.802899467039	444.718954402098	529.76034818548	434.329492196499	494.05503256845	499.849029302567	634.335135865431	445.983640073253	630.737650433758
453.789218171055	458.5911003899	457.667479867395	532.9936880328	501.999830700258	599.602774395122	447.486204721099	529.624473460481	436.255380815695	493.839249348903	502.359158056451	634.291064279867	448.309065809476	630.626343124123
453.786314993817	458.591339333577	460.628010017392	532.831891994613	504.548480707176	599.333715748515	450.382918934903	529.458571977308	438.248199195868	493.590542891172	504.887171467241	634.204896242421	450.715028047522	630.46444908337
453.783482459355	458.59192211666	463.696519039086	532.602384124865	507.157310325516	598.984852823485	453.411198901566	529.255744785066	440.304841945279	493.30617252801	507.452627291475	634.062167362328	453.225843223521	630.238046176447
453.780816153973	458.592894421033	466.869615041177	532.297128518961	509.842812024005	598.549035818573	456.562578475397	529.007917745639	442.414879819243	492.984132261728	510.07675125959	633.849532256093	455.858771366873	629.938708185312
453.77852194693	458.594265155618	470.134389219049	531.91136049166	512.62047172826	598.023599203549	459.815855407536	528.70560043586	444.559057180789	492.623301486767	512.782779272364	633.554994119614	458.622568429354	629.564632334513
453.776820335858	458.596035073619	473.476901479795	531.440804272144	515.505038486604	597.406426012842	463.148743526915	528.339552098618	446.717635125634	492.222759997041	515.593314068046	633.167012198281	461.524740842307	629.114820029222
453.776067246407	458.598104710645	476.875406223218	530.886125104718	518.499890654679	596.700129181631	466.533486259803	527.906141871344	448.871583761127	491.784068279229	518.518313062754	632.680357364447	464.560311076127	628.595156953471
453.776730977988	458.60029144501	480.301681093312	530.252088127169	521.598971557552	595.911246362739	469.937787870449	527.406393799312	451.00246150939	491.310845218103	521.55724099601	632.09503767302	467.713942816868	628.01724114175
